"id","timestamp","os_name","cohort_date","value_D0"
552,"2023-06-17 00:00:00",unknown,"2023-06-17",1559
555,"2023-06-17 00:00:00",winphone,"2023-06-17",7
558,"2023-06-17 00:00:00",windows,"2023-06-17",28328
561,"2023-06-17 00:00:00",macos,"2023-06-17",280
564,"2023-06-17 00:00:00",ipados,"2023-06-17",420
567,"2023-06-17 00:00:00",android,"2023-06-17",10411
570,"2023-06-17 00:00:00",ios,"2023-06-17",15147
573,"2023-06-16 00:00:00",macos,"2023-06-16",297
576,"2023-06-16 00:00:00",ipados,"2023-06-16",426
579,"2023-06-16 00:00:00",ios,"2023-06-16",16160
582,"2023-06-16 00:00:00",unknown,"2023-06-16",1354
585,"2023-06-16 00:00:00",winphone,"2023-06-16",5
588,"2023-06-16 00:00:00",windows,"2023-06-16",29547
591,"2023-06-16 00:00:00",android,"2023-06-16",11367
594,"2023-06-15 00:00:00",windows,"2023-06-15",30362
597,"2023-06-15 00:00:00",ios,"2023-06-15",17201
600,"2023-06-15 00:00:00",ipados,"2023-06-15",394
603,"2023-06-15 00:00:00",unknown,"2023-06-15",1347
606,"2023-06-15 00:00:00",android,"2023-06-15",11484
609,"2023-06-15 00:00:00",winphone,"2023-06-15",6
612,"2023-06-15 00:00:00",macos,"2023-06-15",307
615,"2023-06-14 00:00:00",macos,"2023-06-14",311
618,"2023-06-14 00:00:00",winphone,"2023-06-14",5
621,"2023-06-14 00:00:00",unknown,"2023-06-14",1175
624,"2023-06-14 00:00:00",ipados,"2023-06-14",365
627,"2023-06-14 00:00:00",ios,"2023-06-14",15150
630,"2023-06-14 00:00:00",android,"2023-06-14",9851
633,"2023-06-14 00:00:00",windows,"2023-06-14",30202
636,"2023-06-13 00:00:00",android,"2023-06-13",9182
639,"2023-06-13 00:00:00",ipados,"2023-06-13",377
642,"2023-06-13 00:00:00",ios,"2023-06-13",13887
645,"2023-06-13 00:00:00",unknown,"2023-06-13",983
648,"2023-06-13 00:00:00",macos,"2023-06-13",290
651,"2023-06-13 00:00:00",windows,"2023-06-13",29423
654,"2023-06-13 00:00:00",winphone,"2023-06-13",3
657,"2023-06-12 00:00:00",android,"2023-06-12",9296
660,"2023-06-12 00:00:00",macos,"2023-06-12",307
663,"2023-06-12 00:00:00",ipados,"2023-06-12",407
666,"2023-06-12 00:00:00",windows,"2023-06-12",29499
669,"2023-06-12 00:00:00",winphone,"2023-06-12",5
672,"2023-06-12 00:00:00",unknown,"2023-06-12",1082
675,"2023-06-12 00:00:00",ios,"2023-06-12",14139
678,"2023-06-11 00:00:00",macos,"2023-06-11",273
681,"2023-06-11 00:00:00",ipados,"2023-06-11",430
684,"2023-06-11 00:00:00",unknown,"2023-06-11",1200
687,"2023-06-11 00:00:00",windows,"2023-06-11",26547
690,"2023-06-11 00:00:00",android,"2023-06-11",9502
693,"2023-06-11 00:00:00",ios,"2023-06-11",14798
696,"2023-06-11 00:00:00",winphone,"2023-06-11",12
699,"2023-06-10 00:00:00",ipados,"2023-06-10",428
702,"2023-06-10 00:00:00",unknown,"2023-06-10",991
705,"2023-06-10 00:00:00",windows,"2023-06-10",28031
708,"2023-06-10 00:00:00",android,"2023-06-10",9448
711,"2023-06-10 00:00:00",winphone,"2023-06-10",7
714,"2023-06-10 00:00:00",ios,"2023-06-10",14225
717,"2023-06-10 00:00:00",macos,"2023-06-10",271
720,"2023-06-09 00:00:00",windows,"2023-06-09",28986
723,"2023-06-09 00:00:00",unknown,"2023-06-09",760
726,"2023-06-09 00:00:00",android,"2023-06-09",9376
729,"2023-06-09 00:00:00",macos,"2023-06-09",290
732,"2023-06-09 00:00:00",ios,"2023-06-09",13946
735,"2023-06-09 00:00:00",ipados,"2023-06-09",402
738,"2023-06-09 00:00:00",winphone,"2023-06-09",3
741,"2023-06-08 00:00:00",android,"2023-06-08",9288
744,"2023-06-08 00:00:00",ios,"2023-06-08",14544
747,"2023-06-08 00:00:00",macos,"2023-06-08",293
750,"2023-06-08 00:00:00",windows,"2023-06-08",29568
753,"2023-06-08 00:00:00",unknown,"2023-06-08",638
756,"2023-06-08 00:00:00",ipados,"2023-06-08",413
759,"2023-06-08 00:00:00",winphone,"2023-06-08",6
762,"2023-06-07 00:00:00",winphone,"2023-06-07",4
765,"2023-06-07 00:00:00",ios,"2023-06-07",14009
768,"2023-06-07 00:00:00",macos,"2023-06-07",322
771,"2023-06-07 00:00:00",unknown,"2023-06-07",675
774,"2023-06-07 00:00:00",android,"2023-06-07",9331
777,"2023-06-07 00:00:00",ipados,"2023-06-07",405
780,"2023-06-07 00:00:00",windows,"2023-06-07",29542
783,"2023-06-06 00:00:00",windows,"2023-06-06",30144
786,"2023-06-06 00:00:00",unknown,"2023-06-06",652
789,"2023-06-06 00:00:00",macos,"2023-06-06",325
792,"2023-06-06 00:00:00",ipados,"2023-06-06",402
795,"2023-06-06 00:00:00",ios,"2023-06-06",14225
798,"2023-06-06 00:00:00",winphone,"2023-06-06",3
801,"2023-06-06 00:00:00",android,"2023-06-06",9198
804,"2023-06-05 00:00:00",android,"2023-06-05",9321
807,"2023-06-05 00:00:00",winphone,"2023-06-05",9
810,"2023-06-05 00:00:00",ipados,"2023-06-05",374
813,"2023-06-05 00:00:00",macos,"2023-06-05",297
816,"2023-06-05 00:00:00",windows,"2023-06-05",30342
819,"2023-06-05 00:00:00",ios,"2023-06-05",13736
822,"2023-06-05 00:00:00",unknown,"2023-06-05",30
825,"2023-06-04 00:00:00",windows,"2023-06-04",26485
828,"2023-06-04 00:00:00",winphone,"2023-06-04",4
831,"2023-06-04 00:00:00",ios,"2023-06-04",14690
834,"2023-06-04 00:00:00",ipados,"2023-06-04",419
837,"2023-06-04 00:00:00",android,"2023-06-04",9523
840,"2023-06-04 00:00:00",macos,"2023-06-04",277
843,"2023-06-03 00:00:00",macos,"2023-06-03",275
846,"2023-06-03 00:00:00",winphone,"2023-06-03",8
849,"2023-06-03 00:00:00",ios,"2023-06-03",14929
852,"2023-06-03 00:00:00",windows,"2023-06-03",28495
855,"2023-06-03 00:00:00",android,"2023-06-03",9567
858,"2023-06-03 00:00:00",ipados,"2023-06-03",429
861,"2023-06-02 00:00:00",winphone,"2023-06-02",4
864,"2023-06-02 00:00:00",ios,"2023-06-02",14470
867,"2023-06-02 00:00:00",macos,"2023-06-02",313
870,"2023-06-02 00:00:00",ipados,"2023-06-02",409
873,"2023-06-02 00:00:00",windows,"2023-06-02",30172
876,"2023-06-02 00:00:00",android,"2023-06-02",10692
879,"2023-06-01 00:00:00",android,"2023-06-01",11047
882,"2023-06-01 00:00:00",macos,"2023-06-01",293
885,"2023-06-01 00:00:00",winphone,"2023-06-01",2
888,"2023-06-01 00:00:00",ios,"2023-06-01",13318
891,"2023-06-01 00:00:00",ipados,"2023-06-01",429
894,"2023-06-01 00:00:00",windows,"2023-06-01",30372
897,"2023-05-31 00:00:00",android,"2023-05-31",11167
900,"2023-05-31 00:00:00",winphone,"2023-05-31",4
903,"2023-05-31 00:00:00",windows,"2023-05-31",30717
906,"2023-05-31 00:00:00",macos,"2023-05-31",318
909,"2023-05-31 00:00:00",ios,"2023-05-31",13571
912,"2023-05-31 00:00:00",ipados,"2023-05-31",384
915,"2023-05-30 00:00:00",macos,"2023-05-30",334
918,"2023-05-30 00:00:00",ipados,"2023-05-30",377
921,"2023-05-30 00:00:00",ios,"2023-05-30",13490
924,"2023-05-30 00:00:00",android,"2023-05-30",9683
927,"2023-05-30 00:00:00",windows,"2023-05-30",29436
930,"2023-05-30 00:00:00",winphone,"2023-05-30",9
933,"2023-05-29 00:00:00",ios,"2023-05-29",13712
936,"2023-05-29 00:00:00",winphone,"2023-05-29",10
939,"2023-05-29 00:00:00",windows,"2023-05-29",30304
942,"2023-05-29 00:00:00",macos,"2023-05-29",307
945,"2023-05-29 00:00:00",ipados,"2023-05-29",393
948,"2023-05-29 00:00:00",android,"2023-05-29",9256
